Hparam	Feature	Model	Reaction-Set	Accuracy	AUROC	AUPRC	Precision	Recall	F1-Score
common	reaction	rnn	Reaction-Set-1	0.7819148936170213	0.42	0.15	0.6814453821466778	0.7819148936170213	0.7282311845030168
common	subsystem	rnn	Reaction-Set-1	0.7978723404255319	0.34	0.13	0.7081560283687943	0.7978723404255319	0.7444528875379939
different	reaction	rnn	Reaction-Set-1	0.6968085106382979	0.59	0.19	0.7076703021634186	0.6968085106382979	0.7021245764566961
different	subsystem	rnn	Reaction-Set-1	0.7127659574468085	0.58	0.19	0.705431367268157	0.7127659574468085	0.709047908406157
common	reaction	rnn	Reaction-Set-2	0.7819148936170213	0.49	0.16	0.6814453821466778	0.7819148936170213	0.7282311845030168
common	subsystem	rnn	Reaction-Set-2	0.7872340425531915	0.47	0.16	0.7022950035859431	0.7872340425531915	0.7385168871982478
different	reaction	rnn	Reaction-Set-2	0.6808510638297872	0.48	0.16	0.6885473725273474	0.6808510638297872	0.6846571410744369
different	subsystem	rnn	Reaction-Set-2	0.6914893617021277	0.41	0.18	0.6914893617021277	0.6914893617021277	0.6914893617021277
common	reaction	rnn	Reaction-Set-3	0.7872340425531915	0.71	0.27	0.7819104048837417	0.7872340425531915	0.7844799321527088
common	subsystem	rnn	Reaction-Set-3	0.7446808510638298	0.62	0.24	0.7382080976748361	0.7446808510638298	0.7413759185832506
different	reaction	rnn	Reaction-Set-3	0.6968085106382979	0.38	0.17	0.6929866360071519	0.6968085106382979	0.6948865604293515
different	subsystem	rnn	Reaction-Set-3	0.7712765957446809	0.39	0.19	0.7361568656001067	0.7712765957446809	0.7514358191035717
common	reaction	rnn	Reaction-Set-4	0.7606382978723404	0.38	0.13	0.6780547112462006	0.7606382978723404	0.716976280773928
common	subsystem	rnn	Reaction-Set-4	0.8191489361702128	0.53	0.28	0.7734123146357189	0.8191489361702128	0.7834937428631352
different	reaction	rnn	Reaction-Set-4	0.7074468085106383	0.55	0.2	0.7310456690722291	0.7074468085106383	0.7185112769396287
different	subsystem	rnn	Reaction-Set-4	0.6436170212765957	0.5	0.17	0.7048610351840109	0.6436170212765957	0.6707465729944393
common	reaction	rnn	Reaction-Set-5	0.7074468085106383	0.46	0.16	0.7037626393995166	0.7074468085106383	0.7055922951511289
common	subsystem	rnn	Reaction-Set-5	0.7021276595744681	0.53	0.19	0.7228443449048152	0.7021276595744681	0.7119732999582812
different	reaction	rnn	Reaction-Set-5	0.7340425531914894	0.64	0.27	0.7528779395296753	0.7340425531914894	0.7428333035341795
different	subsystem	rnn	Reaction-Set-5	0.8085106382978723	0.66	0.32	0.8085106382978723	0.8085106382978723	0.8085106382978723
common	reaction	rnn	Reaction-Set-6	0.7925531914893617	0.45	0.26	0.7408764809576517	0.7925531914893617	0.7603957834831534
common	subsystem	rnn	Reaction-Set-6	0.75	0.48	0.25	0.7263803680981595	0.75	0.7373920695154814
different	reaction	rnn	Reaction-Set-6	0.7606382978723404	0.6	0.4	0.7693903093152155	0.7606382978723404	0.7648351919394968
different	subsystem	rnn	Reaction-Set-6	0.7340425531914894	0.59	0.35	0.7764068220609504	0.7340425531914894	0.7516632066110861
common	reaction	rnn	Reaction-Set-7	0.7393617021276596	0.66	0.35	0.7898518354226737	0.7393617021276596	0.7592027175630973
common	subsystem	rnn	Reaction-Set-7	0.7287234042553191	0.68	0.59	0.7981472055380229	0.7287234042553191	0.7537870614129731
different	reaction	rnn	Reaction-Set-7	0.7872340425531915	0.66	0.45	0.7872340425531915	0.7872340425531915	0.7872340425531915
different	subsystem	rnn	Reaction-Set-7	0.6648936170212766	0.59	0.23	0.7482568692317118	0.6648936170212766	0.6973638945091339
common	reaction	rnn	Reaction-Set-8	0.7978723404255319	0.35	0.14	0.7081560283687943	0.7978723404255319	0.7444528875379939
common	subsystem	rnn	Reaction-Set-8	0.7712765957446809	0.42	0.14	0.6797692030292103	0.7712765957446809	0.7226375311481694
different	reaction	rnn	Reaction-Set-8	0.75	0.6	0.21	0.7004048582995951	0.75	0.7231372549019607
different	subsystem	rnn	Reaction-Set-8	0.723404255319149	0.5	0.24	0.7550138096626	0.723404255319149	0.7375137572404022
common	reaction	rnn	Reaction-Set-9	0.851063829787234	0.81	0.45	0.8353918575656591	0.851063829787234	0.8395861171069312
common	subsystem	rnn	Reaction-Set-9	0.8829787234042553	0.91	0.57	0.8802405961037796	0.8829787234042553	0.88146396268399
different	reaction	rnn	Reaction-Set-9	0.8670212765957447	0.89	0.74	0.862373510153795	0.8670212765957447	0.8643845400036541
different	subsystem	rnn	Reaction-Set-9	0.8670212765957447	0.88	0.58	0.862373510153795	0.8670212765957447	0.8643845400036541
common	reaction	rnn_delta	Reaction-Set-1	0.8031914893617021	0.52	0.2	0.7285418069918247	0.8031914893617021	0.7547452152832104
common	subsystem	rnn_delta	Reaction-Set-1	0.8297872340425532	0.55	0.23	0.7890270141047094	0.8297872340425532	0.7908135097585984
different	reaction	rnn_delta	Reaction-Set-1	0.8138297872340425	0.68	0.47	0.7931544865864941	0.8138297872340425	0.8012075417126123
different	subsystem	rnn_delta	Reaction-Set-1	0.8031914893617021	0.66	0.36	0.780724918005214	0.8031914893617021	0.7898479726676186
common	reaction	rnn_delta	Reaction-Set-2	0.7925531914893617	0.54	0.21	0.7049935945692513	0.7925531914893617	0.7414881998931135
common	subsystem	rnn_delta	Reaction-Set-2	0.8031914893617021	0.45	0.18	0.740255056879651	0.8031914893617021	0.7613392709879597
different	reaction	rnn_delta	Reaction-Set-2	0.7021276595744681	0.42	0.16	0.6945057904659305	0.7021276595744681	0.6982719050137924
different	subsystem	rnn_delta	Reaction-Set-2	0.723404255319149	0.4	0.15	0.7008850093956477	0.723404255319149	0.7117069726878833
common	reaction	rnn_delta	Reaction-Set-3	0.776595744680851	0.59	0.26	0.7389817629179333	0.776595744680851	0.7549554464448082
common	subsystem	rnn_delta	Reaction-Set-3	0.7606382978723404	0.64	0.26	0.7382795979637125	0.7606382978723404	0.7485668750680142
different	reaction	rnn_delta	Reaction-Set-3	0.7074468085106383	0.61	0.2	0.6877768478138506	0.7074468085106383	0.6973576886629861
different	subsystem	rnn_delta	Reaction-Set-3	0.7340425531914894	0.55	0.24	0.7405198056011572	0.7340425531914894	0.7372142842286974
common	reaction	rnn_delta	Reaction-Set-4	0.7925531914893617	0.64	0.26	0.7558790593505039	0.7925531914893617	0.7702628285356696
common	subsystem	rnn_delta	Reaction-Set-4	0.7393617021276596	0.59	0.21	0.7221512512909368	0.7393617021276596	0.730373213536115
different	reaction	rnn_delta	Reaction-Set-4	0.8404255319148937	0.73	0.52	0.8226561953811375	0.8404255319148937	0.8281279826145691
different	subsystem	rnn_delta	Reaction-Set-4	0.8404255319148937	0.65	0.44	0.8169656515088305	0.8404255319148937	0.821511552016708
common	reaction	rnn_delta	Reaction-Set-5	0.776595744680851	0.45	0.16	0.7110365789749502	0.776595744680851	0.7389790597931208
common	subsystem	rnn_delta	Reaction-Set-5	0.7659574468085106	0.37	0.15	0.706333498268184	0.7659574468085106	0.7326587095658189
different	reaction	rnn_delta	Reaction-Set-5	0.6861702127659575	0.58	0.22	0.6973836343047858	0.6861702127659575	0.6916728072095626
different	subsystem	rnn_delta	Reaction-Set-5	0.7340425531914894	0.36	0.13	0.6851823708206687	0.7340425531914894	0.7082802933866763
common	reaction	rnn_delta	Reaction-Set-6	0.8138297872340425	0.45	0.18	0.7408856571898772	0.8138297872340425	0.7610652705671329
common	subsystem	rnn_delta	Reaction-Set-6	0.8085106382978723	0.49	0.2	0.7456610088453263	0.8085106382978723	0.7646651984784232
different	reaction	rnn_delta	Reaction-Set-6	0.75	0.65	0.33	0.7649901557186325	0.75	0.7570221403956001
different	subsystem	rnn_delta	Reaction-Set-6	0.776595744680851	0.66	0.3	0.7875295508274232	0.776595744680851	0.7817157810899987
common	reaction	rnn_delta	Reaction-Set-7	0.723404255319149	0.42	0.19	0.723404255319149	0.723404255319149	0.723404255319149
common	subsystem	rnn_delta	Reaction-Set-7	0.675531914893617	0.59	0.21	0.7331913019302317	0.675531914893617	0.7002319545173253
different	reaction	rnn_delta	Reaction-Set-7	0.7340425531914894	0.57	0.2	0.7272825208726098	0.7340425531914894	0.7305999151908861
different	subsystem	rnn_delta	Reaction-Set-7	0.8138297872340425	0.68	0.41	0.8115226733231621	0.8138297872340425	0.8126496423689
common	reaction	rnn_delta	Reaction-Set-8	0.6968085106382979	0.42	0.15	0.7211121973366726	0.6968085106382979	0.7082753233737971
common	subsystem	rnn_delta	Reaction-Set-8	0.6914893617021277	0.45	0.2	0.7194077055779183	0.6914893617021277	0.7045694911036456
different	reaction	rnn_delta	Reaction-Set-8	0.776595744680851	0.71	0.26	0.7217961405244929	0.776595744680851	0.7448105864037364
different	subsystem	rnn_delta	Reaction-Set-8	0.7287234042553191	0.61	0.21	0.702581908367054	0.7287234042553191	0.7150424584104162
common	reaction	rnn_delta	Reaction-Set-9	0.7925531914893617	0.71	0.5	0.800250312891114	0.7925531914893617	0.7961904996808973
common	subsystem	rnn_delta	Reaction-Set-9	0.7446808510638298	0.71	0.39	0.762889137737962	0.7446808510638298	0.7531199713928124
different	reaction	rnn_delta	Reaction-Set-9	0.7978723404255319	0.51	0.21	0.7527214250371104	0.7978723404255319	0.769114340079571
different	subsystem	rnn_delta	Reaction-Set-9	0.7074468085106383	0.59	0.21	0.6877768478138506	0.7074468085106383	0.6973576886629861
